[NONE   ][0][2013-03-18T15:53:06.363246]:[5056]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-03-18T16:08:12.749089]:[2272]: Player: 'csabi1790930', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.750089]:[2272]: Player: 'CLRN', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.750089]:[2272]: Player: 'londrax', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.750089]:[2272]: Player: 'dysik61', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.750089]:[2272]: Player: 'nevskij777', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.750089]:[2272]: Player: 'BIGG__FISHYY', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.751089]:[2272]: Player: 'finito2601', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:08:12.751089]:[2272]: Player: 'dinosaur25', stack: '500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-18T16:09:12.355498]:[2272]: Player: 'csabi1790930', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.355498]:[2272]: Player: 'CLRN', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.355498]:[2272]: Player: 'londrax', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.356498]:[2272]: Player: 'dysik61', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.356498]:[2272]: Player: 'e.poppi', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.356498]:[2272]: Player: 'nevskij777', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.356498]:[2272]: Player: 'BIGG__FISHYY', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.357498]:[2272]: Player: 'finito2601', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.357498]:[2272]: Player: 'dinosaur25', stack: '498' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.357498]:[2272]: Ante: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.358498]:[2272]: Player: 'csabi1790930', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.358498]:[2272]: Player: 'CLRN', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.359498]:[2272]: Player: 'londrax', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.360498]:[2272]: Player: 'dysik61', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.360498]:[2272]: Player: 'e.poppi', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.361498]:[2272]: Player: 'nevskij777', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.362498]:[2272]: Player: 'BIGG__FISHYY', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.362498]:[2272]: Player: 'finito2601', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.363499]:[2272]: Player: 'dinosaur25', action: 'Ante', amount: '2' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-18T16:09:12.367499]:[2272]: Player: 'CLRN', stack: '488' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-18T16:09:12.368499]:[2272]: Player: 'CLRN', stack: '478' /* clnt::ps::msg::PlayerAction::Process */
