[NONE   ][0][2013-03-17T12:18:30.056306]:[2232]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-03-17T12:19:29.837725]:[1368]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.855726]:[1368]: Player: 'ciromenotti0', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.856726]:[1368]: Player: 'Davegarage', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.856726]:[1368]: Player: 'jampierreita', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.856726]:[1368]: Player: 'chopnbaz', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.856726]:[1368]: Player: 'bigchiefsosa', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.857726]:[1368]: Player: 'herisson fou', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.857726]:[1368]: Player: 'andreeff776m', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.857726]:[1368]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:19:29.857726]:[1368]: Player: '201130', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-03-17T12:20:27.933048]:[1368]: Player: 'Davegarage', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:20:27.934048]:[1368]: Player: 'jampierreita', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:20:27.934048]:[1368]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:20:27.935048]:[1368]: Player: 'Davegarage', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:20:27.936048]:[1368]: Player: 'jampierreita', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-03-17T12:20:27.941048]:[1368]: Player cards: ('King' of 'Clubs')('Three' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-03-17T12:20:32.019282]:[1368]: Player: 'chopnbaz', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:33.960393]:[1368]: Player: 'bigchiefsosa', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:33.960393]:[1368]: Player: 'bigchiefsosa', action: 'Raise', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:42.318871]:[1368]: Player: 'herisson fou', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:44.196978]:[1368]: Player: 'herisson fou', stack: '1460' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:44.197978]:[1368]: Player: 'herisson fou', action: 'Call', amount: '40' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:52.349444]:[1368]: Player: 'andreeff776m', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:20:52.350444]:[1368]: Player: 'andreeff776m', action: 'Raise', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:00.730924]:[1368]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:02.727038]:[1368]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:03.462080]:[1368]: Player: '201130', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:11.610546]:[1368]: Player: 'ciromenotti0', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:11.897563]:[1368]: Player: 'ciromenotti0', stack: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:11.897563]:[1368]: Player: 'ciromenotti0', action: 'Call', amount: '1500' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:20.262041]:[1368]: Player: 'Davegarage', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:21:34.324845]:[1368]: Player: 'Davegarage', action: 'SecondsLeft', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:20.250472]:[1368]: Player: 'Davegarage', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:35.501344]:[1368]: Player: 'Davegarage', action: 'Fold', amount: '1' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:36.067377]:[1368]: Player: 'jampierreita', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-03-17T12:22:36.073377]:[1368]: Player: 'bigchiefsosa', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
