[NONE   ][0][2013-05-15T16:43:51.486656]:[7020]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-15T16:44:41.117495]:[1760]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.178498]:[1760]: Player: 'dendi76', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.179498]:[1760]: Player: 'shuriks', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.180499]:[1760]: Player: 'giuuu90', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.180499]:[1760]: Player: 'fryingpan123', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.181499]:[1760]: Player: 'pepe83333333', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.181499]:[1760]: Player: 'chasnikk', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:44:41.182499]:[1760]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T16:45:38.880799]:[1760]: Player: 'shuriks', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:45:38.881799]:[1760]: Player: 'giuuu90', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:45:38.881799]:[1760]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:45:38.882799]:[1760]: Player: 'shuriks', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:45:38.884799]:[1760]: Player: 'giuuu90', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T16:45:38.887799]:[1760]: Player cards: ('Jack' of 'Spades')('Two' of 'Clubs') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T16:45:49.050380]:[1760]: Player: 'fryingpan123', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:45:52.389571]:[1760]: Player: 'fryingpan123', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:45:52.391572]:[1760]: Player: 'fryingpan123', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:45:52.970605]:[1760]: Player: 'CH/Ivan/M', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:45:59.102955]:[1760]: Player: 'pepe83333333', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:02.454147]:[1760]: Player: 'Will^^^^1957', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:02.455147]:[1760]: Player: 'Will^^^^1957', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T16:46:10.646616]:[1760]: Player: 'chasnikk', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
