[NONE   ][0][2013-05-17T14:57:03.762582]:[8112]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-17T14:57:11.241010]:[5868]: Ante: '41' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.317014]:[5868]: Player: 'AZORPB', stack: '1805' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.317014]:[5868]: Player: 'CLRN', stack: '1250' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.317014]:[5868]: Player: 'jclark468', stack: '7545' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.318014]:[5868]: Player: 'georgio06370', stack: '2140' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.318014]:[5868]: Player: 'jon1956', stack: '1445' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:11.318014]:[5868]: Player: 'olegjet727', stack: '5355' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:12.256068]:[5868]: Player: 'Mr. yarddog', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:15.777269]:[5868]: Player: 'jclark468', stack: '7445' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:15.778269]:[5868]: Player: 'jclark468', action: 'Bet', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:16.858331]:[5868]: Player: 'georgio06370', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:18.019397]:[5868]: Player: 'Mr. yarddog', stack: '1300' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:18.022398]:[5868]: Player: 'Mr. yarddog', action: 'Call', amount: '100' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:57:18.200408]:[2792]: Ante: '47' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:18.279412]:[2792]: Player: 'Capt11111', stack: '2100' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:18.279412]:[2792]: Player: 'sganafrost', stack: '2195' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-17T14:57:18.280412]:[2792]: Player: 'PokerLovea', stack: '4625' /* clnt::ps::msg::TableInfo::Process */
