[NONE   ][0][2013-04-21T23:24:33.665108]:[5504]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-04-21T23:25:24.026988]:[5488]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.039989]:[5488]: Player: 'GeWe40', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.039989]:[5488]: Player: 'Vilochka1405', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.039989]:[5488]: Player: 'Frunzelhuhn', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.039989]:[5488]: Player: 'Loomis59', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.040989]:[5488]: Player: 'sharky6969', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.040989]:[5488]: Player: '3FingerJimbo', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.040989]:[5488]: Player: 'Suzi_Q_121', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:25:24.040989]:[5488]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-04-21T23:26:21.687286]:[5488]: Player: 'Vilochka1405', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:26:21.687286]:[5488]: Player: 'PS*Bill', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:26:21.688286]:[5488]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:26:21.689286]:[5488]: Player: 'Vilochka1405', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:26:21.691286]:[5488]: Player: 'PS*Bill', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:26:21.694287]:[5488]: Player cards: ('Seven' of 'Clubs')('King' of 'Hearts') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-21T23:26:25.966531]:[5488]: Player: 'Frunzelhuhn', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:25.968531]:[5488]: Player: 'Frunzelhuhn', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:27.341610]:[5488]: Player: 'Loomis59', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:27.343610]:[5488]: Player: 'Loomis59', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:27.629626]:[5488]: Player: 'sharky6969', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:27.918643]:[5488]: Player: '3FingerJimbo', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:29.130712]:[5488]: Player: 'Suzi_Q_121', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:29.132712]:[5488]: Player: 'Suzi_Q_121', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:37.262177]:[5488]: Player: 'CLRN', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:40.224346]:[5488]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:42.606483]:[5488]: Player: 'GeWe40', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:42.607483]:[5488]: Player: 'GeWe40', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:43.177515]:[5488]: Player: 'Vilochka1405', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:43.178515]:[5488]: Player: 'Vilochka1405', action: 'Call', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:43.463532]:[5488]: Player: 'PS*Bill', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:44.082567]:[5488]: Cards received: ('Eight' of 'Clubs')('King' of 'Clubs')('Queen' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-21T23:26:47.724775]:[5488]: Player: 'Vilochka1405', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:51.483990]:[5488]: Player: 'PS*Bill', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:51.485991]:[5488]: Player: 'PS*Bill', action: 'Bet', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:55.441217]:[5488]: Player: 'Frunzelhuhn', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:26:55.443217]:[5488]: Player: 'Frunzelhuhn', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:01.328554]:[5488]: Player: 'Loomis59', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:01.329554]:[5488]: Player: 'Loomis59', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:03.353669]:[5488]: Player: 'Suzi_Q_121', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:03.355669]:[5488]: Player: 'Suzi_Q_121', action: 'Call', amount: '60' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:03.639686]:[5488]: Player: 'GeWe40', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:03.923702]:[5488]: Player: 'Vilochka1405', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:04.549738]:[5488]: Cards received: ('Eight' of 'Clubs')('King' of 'Clubs')('Queen' of 'Hearts')('Eight' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-21T23:27:06.240834]:[5488]: Player: 'PS*Bill', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:14.406302]:[5488]: Player: 'Frunzelhuhn', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:19.651602]:[5488]: Player: 'Frunzelhuhn', stack: '1220' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:19.653602]:[5488]: Player: 'Frunzelhuhn', action: 'Bet', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:27.979078]:[5488]: Player: 'Loomis59', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:33.846413]:[5488]: Player: 'Loomis59', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:34.132430]:[5488]: Player: 'Suzi_Q_121', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:34.416446]:[5488]: Player: 'PS*Bill', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:34.424446]:[5488]: Player: 'Frunzelhuhn', stack: '1420' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:34.426447]:[5488]: Player: 'Frunzelhuhn', action: 'MoneyReturn', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:27:41.822870]:[5488]: Player: 'PS*Bill', stack: '1410' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:27:41.823870]:[5488]: Player: 'Frunzelhuhn', stack: '1760' /* clnt::ps::msg::BeforePreflopActions::Process */
