[NONE   ][0][2013-05-15T15:23:56.086375]:[2220]: Logger started, module: [0], level: [3], source: [logs/messages.txt].
[TRACE  ][0][2013-05-15T15:28:14.607162]:[328]: Ante: '0' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.619162]:[328]: Player: 'Urric45', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.620162]:[328]: Player: 'bill0340', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.620162]:[328]: Player: 'nocard278', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.620162]:[328]: Player: 'Observer90', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.620162]:[328]: Player: 'Bandini7', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.621162]:[328]: Player: 'MP03', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.621162]:[328]: Player: 'Sokol0526', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:28:14.621162]:[328]: Player: 'CLRN', stack: '1500' /* clnt::ps::msg::TableInfo::Process */
[TRACE  ][0][2013-05-15T15:29:11.655425]:[328]: Player: 'bill0340', stack: '1490' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:29:11.656425]:[328]: Player: 'nocard278', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:29:11.656425]:[328]: Ante: '0' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:29:11.658425]:[328]: Player: 'bill0340', action: 'SmallBlind', amount: '10' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:29:11.661425]:[328]: Player: 'nocard278', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-05-15T15:29:11.668425]:[328]: Player cards: ('Five' of 'Clubs')('Eight' of 'Clubs') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-05-15T15:29:15.489644]:[328]: Player: 'Observer90', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:29:17.300747]:[328]: Player: 'Bandini7', stack: '1480' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-15T15:29:17.302748]:[328]: Player: 'Bandini7', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
